Compound,ID,NormInt,Sample.Type,Method,full_name,Class
AA,exGF18,3.407736333,exGF,LC,Arachidonic acid,Fatty acids
AA,exGF07,1.977113326,exGF,LC,Arachidonic acid,Fatty acids
AA,exGF13,2.737565036,exGF,LC,Arachidonic acid,Fatty acids
AA,exGF19,1.793819925,exGF,LC,Arachidonic acid,Fatty acids
AA,exGF09,2.74515135,exGF,LC,Arachidonic acid,Fatty acids
AA,exGF14,3.147920508,exGF,LC,Arachidonic acid,Fatty acids
AA,GF07,3.901005414,GF,LC,Arachidonic acid,Fatty acids
AA,GF16,0.8421146,GF,LC,Arachidonic acid,Fatty acids
AA,GF21,4.555750146,GF,LC,Arachidonic acid,Fatty acids
AA,GF08,4.232424126,GF,LC,Arachidonic acid,Fatty acids
AA,GF17,4.681894776,GF,LC,Arachidonic acid,Fatty acids
AA,GF22,5.347790839,GF,LC,Arachidonic acid,Fatty acids
AA,GF10,3.405063291,GF,LC,Arachidonic acid,Fatty acids
AA,GF19,3.980120482,GF,LC,Arachidonic acid,Fatty acids
AA,GF15,5.845604158,GF,LC,Arachidonic acid,Fatty acids
AA,GF20,3.92199462,GF,LC,Arachidonic acid,Fatty acids
AA,sexGF1,3.322926462,sexGF,LC,Arachidonic acid,Fatty acids
AA,sexGF2,3.460460653,sexGF,LC,Arachidonic acid,Fatty acids
AA,sexGF3,3.402344423,sexGF,LC,Arachidonic acid,Fatty acids
AA,sexGF4,3.138156412,sexGF,LC,Arachidonic acid,Fatty acids
AA,sexGF5,3.595048087,sexGF,LC,Arachidonic acid,Fatty acids
AA,sGF1,4.922159202,sGF,LC,Arachidonic acid,Fatty acids
AA,sGF2,5.700043821,sGF,LC,Arachidonic acid,Fatty acids
AA,sGF3,8.167822469,sGF,LC,Arachidonic acid,Fatty acids
AA,sGF4,9.204701971,sGF,LC,Arachidonic acid,Fatty acids
AA,sGF5,4.266577744,sGF,LC,Arachidonic acid,Fatty acids
AABA,exGF10,1.247560976,exGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,exGF16,0.920335685,exGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,exGF11,1.605445809,exGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,exGF17,1.005221175,exGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,exGF12,1.556147873,exGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,exGF18,1.301728058,exGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,exGF07,1.505509642,exGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,exGF13,1.742966752,exGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,exGF19,1.55650914,exGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,exGF09,1.250361585,exGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,exGF14,1.622009003,exGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,GF07,1.210533572,GF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,GF16,1.029865605,GF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,GF21,1.418333003,GF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,GF08,1.609280139,GF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,GF17,1.697410043,GF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,GF22,1.582238152,GF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,GF10,1.296245999,GF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,GF19,1.026526635,GF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,GF15,1.940998959,GF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,GF20,1.345250108,GF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,sexGF1,1.225077479,sexGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,sexGF2,1.360299625,sexGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,sexGF3,1.269727212,sexGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,sexGF4,1.473076923,sexGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,sexGF5,1.504563053,sexGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,sGF1,1.550914428,sGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,sGF2,1.79968537,sGF,LC,Alpha-Aminobutyric acid,Amino acid related
